name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
K2-184 b,K2-184,2018,Transit,75.59,16.978,1.47,,533
TOI-6000 b,TOI-6000,2025,Transit,75.77,0.449,0.94,,1120
K2-286 b,K2-286,2018,Transit,76.15,27.359,2.1,,347
TOI-257 b,TOI-257,2021,Transit,76.9,18.3882,7.16,43.86,1027
TOI-969 b,TOI-969,2022,Transit,77.26,1.8237,2.77,9.1,941
K2-266 b,K2-266,2018,Transit,77.56,0.6585,3.3,11.27,1515
K2-266 c,K2-266,2018,Transit,77.56,7.814,0.71,0.29,665
K2-266 d,K2-266,2018,Transit,77.56,14.697,2.93,8.9,538
K2-266 e,K2-266,2018,Transit,77.56,19.482,2.73,14.3,490
TOI-2141 b,TOI-2141,2023,Transit,77.68,18.2616,3.15,20.1,728
K2-321 b,K2-321,2020,Transit,77.69,2.298,2.05,,830
HD 17156 b,HD 17156,2007,Radial Velocity,78.09,21.2164,12.26,1036.12,888
TOI-2768 b,TOI-2768,2024,Transit,78.45,1.508,2.63,,855
TOI-1453 b,TOI-1453,2025,Transit,78.74,4.3135,1.17,2.32,944
TOI-1453 c,TOI-1453,2025,Transit,78.74,6.5887,2.22,2.95,820
TOI-3353.01,TOI-3353,2024,Transit,78.76,4.6658,2.67,,1264
HD 21520 b,HD 21520,2024,Transit,79.21,25.1292,2.7,17.7,637
TOI-6054.01,TOI-6054,2024,Transit,79.41,7.5014,2.64,12.5,1360
TOI-6054.02,TOI-6054,2024,Transit,79.41,12.5636,2.82,9.3,1143
HD 1397 b,HD 1397,2018,Transit,79.57,11.5353,11.5,131.9,1228
TOI-1898 b,TOI-1898,2024,Transit,79.67,45.5223,9.4,129.0,675
TOI-3785 b,TOI-3785,2023,Transit,79.76,4.6747,5.14,14.95,582
TOI-4860 b,TOI-4860,2023,Transit,80.14,1.5228,8.7,86.7,694
LTT 9779 b,LTT 9779,2020,Transit,80.44,0.7921,4.72,29.32,1978
TOI-238 b,TOI-238,2024,Transit,80.54,1.2731,1.56,3.37,1378
TOI-238 c,TOI-238,2024,Radial Velocity,80.54,8.4657,2.18,6.7,696
TOI-4479 b,TOI-4479,2022,Transit,80.65,1.1589,2.82,,861
HD 332231 b,HD 332231,2020,Transit,80.67,18.712,9.07,74.1,798
TOI-5817 b,TOI-5817,2025,Transit,80.75,15.6103,3.08,10.3,950
K2-167 b,K2-167,2018,Transit,80.9,9.9785,2.37,,1220
TOI-1710 b,TOI-1710,2022,Transit,81.23,24.2834,5.2,22.4,603
TOI-2345 b,TOI-2345,2025,Transit,81.65,1.0529,1.5,3.49,1478
TOI-2345 c,TOI-2345,2025,Transit,81.65,21.0643,2.45,7.27,544
TOI-1062 b,TOI-1062,2021,Transit,82.17,4.113,2.27,10.15,1077
HD 93963 A c,HD 93963 A,2022,Transit,82.34,3.6451,3.12,18.4,1212
HD 93963 A b,HD 93963 A,2022,Transit,82.34,1.0376,1.47,2.8,1842
TOI-283 b,TOI-283,2025,Transit,82.7,17.6175,2.34,6.54,661
TOI-2093 c,TOI-2093,2025,Transit,82.8,53.8115,2.3,15.8,329
TOI-5076 b,TOI-5076,2024,Transit,82.86,23.4432,3.49,16.15,550
K2-9 b,K2-9,2015,Transit,82.96,18.4498,2.25,,314
TOI-682.01,TOI-682,2021,Transit,83.15,6.8392,3.74,,1090
TOI-5803 b,TOI-5803,2023,Transit,84.01,5.3831,3.27,,679
TOI-561 b,TOI-561,2020,Transit,85.8,0.4466,1.4,2.02,2319
TOI-561 c,TOI-561,2020,Transit,85.8,10.7788,2.87,5.93,802
TOI-561 d,TOI-561,2020,Transit,85.8,25.7127,2.62,13.33,600
TOI-561 e,TOI-561,2020,Transit,85.8,77.144,2.52,12.4,416
TOI-1443 b,TOI-1443,2024,Transit,85.8,23.5407,2.3,30.0,521
TOI-756 b,TOI-756,2025,Transit,86.18,1.2392,2.81,9.83,934
TOI-5205 b,TOI-5205,2023,Transit,86.45,1.6308,11.6,343.0,737
TOI-1054.01,TOI-1054,2021,Transit,88.43,15.5078,2.43,,853
TOI-1736 b,TOI-1736,2023,Transit,88.95,7.0731,3.18,12.3,1100
TOI-5704 b,TOI-5704,2023,Transit,89.64,3.7711,3.23,,949
TIC 46432937 b,TIC 46432937,2024,Transit,90.54,1.4404,13.32,1017.05,872
K2-147 b,K2-147,2018,Transit,90.55,0.9619,1.47,,1077
TOI-220 b,TOI-220,2021,Transit,90.74,10.6953,3.03,13.8,805
WASP-145 A b,WASP-145 A,2018,Transit,91.3,1.769,10.09,282.87,1200
K2-354 b,K2-354,2021,Transit,91.72,3.7933,1.56,,543
TOI-1451 b,TOI-1451,2024,Transit,91.94,16.5379,2.61,15.2,723
Kepler-1649 b,Kepler-1649,2017,Transit,92.19,8.6891,1.02,,307
Kepler-1649 c,Kepler-1649,2020,Transit,92.19,19.5353,1.06,,234
HD 118203 b,HD 118203,2005,Radial Velocity,92.26,6.135,12.78,680.15,1361
TOI-5736 b,TOI-5736,2025,Transit,92.36,0.649,1.56,,1311
TOI-2407 b,TOI-2407,2025,Transit,92.44,2.703,4.26,,705
TIC 393818343 b,TIC 393818343,2024,Transit,93.73,16.2492,12.18,1379.38,806
K2-417 b,K2-417,2023,Transit,94.04,6.535,3.31,699.22,558
HD 219666 b,HD 219666,2018,Transit,94.17,6.0345,4.9,17.6,1076
TYC 8998-760-1 c,TYC 8998-760-1,2020,Imaging,94.62,,12.33,1906.98,1240
TOI-763 b,TOI-763,2020,Transit,95.13,5.6057,2.28,9.79,1038
TOI-763 c,TOI-763,2020,Transit,95.13,12.2737,2.63,9.32,800
Kepler-93 b,Kepler-93,2014,Transit,95.91,4.7267,1.48,4.66,1133
TOI-181 b,TOI-181,2023,Transit,96.23,4.532,6.96,46.17,895
KELT-24 b,KELT-24,2019,Transit,96.52,5.5515,12.71,1458.83,1391
TOI-3493 b,TOI-3493,2025,Transit,96.72,8.1595,3.22,8.97,1102
K2-85 b,K2-85,2016,Transit,97.22,0.6845,1.4,3.2,1355
TOI-5788 b,TOI-5788,2026,Transit,97.61,6.3408,1.53,3.72,910
TOI-5788 c,TOI-5788,2026,Transit,97.61,16.2134,2.27,6.4,667
TOI-762 A b,TOI-762 A,2024,Transit,98.45,3.4717,8.34,79.77,555
K2-26 b,K2-26,2016,Transit,99.05,14.5665,2.67,,430
KELT-11 b,KELT-11,2017,Transit,99.16,4.7362,15.13,65.15,1712
HD 77946 b,HD 77946,2024,Transit,99.45,6.5274,2.9,10.9,1129
TOI-1749 b,TOI-1749,2021,Transit,99.56,2.3884,1.39,57.0,831
TOI-1749 c,TOI-1749,2021,Transit,99.56,4.4929,2.12,14.0,673
TOI-1749 d,TOI-1749,2021,Transit,99.56,9.0497,2.52,15.0,533
WASP-189 b,WASP-189,2020,Transit,99.73,2.724,18.15,632.48,3353
K2-174 b,K2-174,2018,Transit,99.93,19.5623,2.6,,455
WASP-84 b,WASP-84,2014,Transit,100.59,8.5235,10.72,220.0,732
WASP-84 c,WASP-84,2023,Transit,100.59,1.4469,1.95,15.2,1329
Qatar-6 b,Qatar-6,2017,Transit,100.85,3.5062,11.9,212.31,1006
TOI-2260 b,TOI-2260,2022,Transit,101.25,0.3525,1.62,,2609
K2-222 b,K2-222,2018,Transit,101.32,15.3889,2.28,7.5,803
K2-117 c,K2-117,2017,Transit,101.63,5.444,2.06,,537
K2-117 b,K2-117,2017,Transit,101.63,1.2916,2.03,,868
HIP 8152 b,HIP 8152,2023,Transit,101.69,10.751,2.54,8.9,795
HIP 8152 c,HIP 8152,2023,Transit,101.69,19.6056,2.52,10.7,651
TOI-5624 d,TOI-5624,2026,Transit,101.91,13.7315,3.58,4.9,713
TOI-5624 b,TOI-5624,2026,Transit,101.91,3.3903,2.31,9.4,1136
TOI-5624 c,TOI-5624,2026,Transit,101.91,7.8854,2.47,4.8,857
TOI-5624 e,TOI-5624,2026,Transit,101.91,21.4899,3.25,8.9,614
K2-229 c,K2-229,2018,Transit,102.56,8.3273,2.03,,750
K2-126 b,K2-126,2017,Transit,102.95,7.3857,1.97,,601
TOI-1752 c,TOI-1752,2026,Transit,103.02,32.7144,2.29,,291
TOI-1752 b,TOI-1752,2026,Transit,103.02,0.9352,1.69,,1036
HD 224018 b,HD 224018,2025,Radial Velocity,105.48,10.6413,0.91,4.1,968
HD 224018 c,HD 224018,2025,Transit,105.48,36.5767,2.42,10.4,641
HD 224018 d,HD 224018,2025,Transit,105.48,138.0731,2.4,4.2,411
K2-346 b,K2-346,2021,Transit,105.58,26.2014,2.26,,450
HIP 41378 b,HIP 41378,2016,Transit,106.29,15.5719,2.42,9.06,971
HIP 41378 c,HIP 41378,2016,Transit,106.29,31.7084,2.51,6.53,766
HIP 41378 d,HIP 41378,2016,Transit,106.29,278.3618,3.54,4.6,367
HIP 41378 e,HIP 41378,2016,Transit,106.29,369.0,4.92,12.0,335
HD 110113 b,HD 110113,2021,Transit,106.31,2.541,2.05,4.55,1371
TOI-1279 b,TOI-1279,2024,Transit,107.06,9.6142,2.66,10.6,759
K2-284 b,K2-284,2018,Transit,107.27,4.7951,2.78,,653
K2-199 b,K2-199,2018,Transit,107.52,3.2254,1.73,6.9,913
K2-199 c,K2-199,2018,Transit,107.52,7.3745,2.85,12.4,694
Kepler-102 f,Kepler-102,2014,Transit,107.8,27.4536,0.86,4.3,495
Kepler-102 c,Kepler-102,2014,Transit,107.8,7.0714,0.57,1.7,777
Kepler-102 b,Kepler-102,2014,Transit,107.8,5.287,0.46,1.1,857
Kepler-102 e,Kepler-102,2013,Transit,107.8,16.1457,2.17,4.7,590
Kepler-102 d,Kepler-102,2014,Transit,107.8,10.3118,1.15,3.0,686
V1298 Tau b,V1298 Tau,2019,Transit,108.2,24.14,9.41,13.1,666
V1298 Tau c,V1298 Tau,2019,Transit,108.2,8.2492,5.08,4.7,953
V1298 Tau d,V1298 Tau,2019,Transit,108.2,12.4014,6.53,6.0,831
V1298 Tau e,V1298 Tau,2019,Transit,108.2,48.6777,10.17,15.3,527
K2-152 b,K2-152,2018,Transit,108.45,32.6479,2.29,,337
Kepler-21 b,Kepler-21,2012,Transit,108.52,2.7858,1.64,7.5,2015
K2-320 b,K2-320,2020,Transit,108.74,1.995,2.62,,698
HIP 65426 b,HIP 65426,2017,Imaging,108.88,,16.81,2860.47,1500
TOI-3984 A b,TOI-3984 A,2023,Transit,108.88,4.3533,7.9,44.0,563
TOI-4308 b,TOI-4308,2023,Transit,108.93,9.1512,2.42,,763
TOI-2010 b,TOI-2010,2023,Transit,109.19,141.834,11.81,408.73,400
K2-242 b,K2-242,2018,Transit,109.24,6.5139,2.54,,416
HD 106315 b,HD 106315,2017,Transit,109.35,9.5524,2.44,12.6,1153
HD 106315 c,HD 106315,2017,Transit,109.35,21.057,4.35,15.2,886
TOI-1268 b,TOI-1268,2022,Transit,109.56,8.1577,9.1,96.4,919
K2-36 c,K2-36,2016,Transit,109.75,5.3409,3.2,7.9,854
K2-36 b,K2-36,2016,Transit,109.75,1.4226,1.43,4.3,1328
HD 80653 b,HD 80653,2020,Transit,109.86,0.7196,1.61,5.72,2463
TOI-1438 b,TOI-1438,2025,Transit,110.51,5.1397,3.04,9.4,971
TOI-1438 c,TOI-1438,2025,Transit,110.51,9.4281,2.75,10.6,794
K2-198 b,K2-198,2018,Transit,110.57,17.0429,4.19,,716
K2-198 d,K2-198,2019,Transit,110.57,7.45,2.44,,943
K2-198 c,K2-198,2019,Transit,110.57,3.3596,1.42,,1230
TOI-125 d,TOI-125,2020,Transit,111.06,19.98,2.93,13.6,638
TOI-125 c,TOI-125,2019,Transit,111.06,9.1506,2.76,6.63,828
TOI-125 b,TOI-125,2019,Transit,111.06,4.6538,2.73,9.5,1037
TOI-1669 c,TOI-1669,2024,Transit,111.28,2.6801,2.3,13.0,1285
K2-325 b,K2-325,2020,Transit,111.64,6.93,2.2,,423
K2-62 b,K2-62,2016,Transit,112.47,6.672,2.02,,666
K2-62 c,K2-62,2016,Transit,112.47,16.197,1.99,,495
K2-316 b,K2-316,2020,Transit,112.49,1.133,1.33,,841
K2-316 c,K2-316,2020,Transit,112.49,5.26,1.83,,423
TOI-3714 b,TOI-3714,2022,Transit,112.71,2.1548,11.32,222.48,750
TOI-2458 b,TOI-2458,2024,Transit,112.96,3.7366,2.83,13.31,1509
Kepler-1869 c,Kepler-1869,2023,Transit,113.03,1.7168,0.74,,1455
TOI-3082 b,TOI-3082,2023,Transit,113.05,1.9269,3.66,,1033
PDS 70 c,PDS 70,2019,Imaging,113.06,,22.19,2383.71,1054
PDS 70 b,PDS 70,2018,Imaging,113.06,,21.97,1017.05,1392
K2-277 b,K2-277,2018,Transit,113.12,6.3268,2.19,,1049
TOI-1751 b,TOI-1751,2024,Transit,113.34,37.4685,2.95,19.5,652
TOI-5938 b,TOI-5938,2026,Transit,114.04,2.2604,3.82,,1077
TOI-1135 b,TOI-1135,2024,Transit,114.05,8.0277,9.92,58.8,1171
WASP-166 b,WASP-166,2019,Transit,114.17,5.4435,7.06,32.1,1270
K2-292 b,K2-292,2019,Transit,114.29,16.9841,2.63,24.5,795
TOI-261.01,TOI-261,2021,Transit,114.5,3.3639,3.04,,1722
TOI-261.02,TOI-261,2021,Transit,114.5,13.0394,3.35,,1008
TOI-2084 b,TOI-2084,2023,Transit,114.55,6.0784,2.47,,527
TOI-1288 b,TOI-1288,2022,Transit,114.87,2.6998,4.97,44.1,1203
TOI-1883 b,TOI-1883,2024,Transit,115.37,4.5064,5.65,,525
TOI-1346 b,TOI-1346,2025,Transit,115.45,1.7623,2.39,,1324
TOI-1346 c,TOI-1346,2025,Transit,115.45,5.5026,2.23,,928
K2-216 b,K2-216,2018,Transit,115.46,2.1748,1.75,8.0,1103
TOI-519 b,TOI-519,2021,Transit,115.56,1.2652,11.55,147.15,687
WASP-59 b,WASP-59,2012,Transit,115.94,7.9196,8.69,274.28,670
K2-110 b,K2-110,2017,Transit,116.47,13.8638,2.59,15.9,638
TOI-2180 b,TOI-2180,2022,Transit,116.69,260.79,11.32,875.62,348
WASP-140 b,WASP-140,2016,Transit,117.6,,14.24,,1270
TOI-6034 b,TOI-6034,2024,Transit,117.99,2.5762,11.92,254.0,714
K2-323 b,K2-323,2020,Transit,118.32,24.93,2.1,,318
TOI-1803 c,TOI-1803,2025,Transit,119.24,12.8858,4.29,8.0,588
TOI-1803 b,TOI-1803,2025,Transit,119.24,6.2933,2.99,10.32,747
K2-416 b,K2-416,2023,Transit,120.31,13.102,2.66,1652.71,447
NGTS-34 b,NGTS-34,2025,Transit,120.48,43.1266,3.65,19.1,624
TOI-4465 b,TOI-4465,2025,Transit,121.14,101.9405,14.01,1872.01,427
TOI-1472 c,TOI-1472,2025,Radial Velocity,121.84,15.5382,3.33,21.13,662
TOI-1472 b,TOI-1472,2024,Transit,121.84,6.3634,4.06,18.05,891
WASP-33 b,WASP-33,2010,Transit,121.94,1.2199,17.86,665.22,2782
EPIC 229004835 b,EPIC 229004835,2023,Transit,121.97,16.1411,2.33,10.4,804
WASP-156 b,WASP-156,2017,Transit,122.07,3.8362,6.03,41.8,934
TIC 88785435 b,TIC 88785435,2025,Transit,122.39,10.5088,5.03,,635
WASP-132 b,WASP-132,2016,Transit,122.91,7.1335,10.1,136.03,682
WASP-132 c,WASP-132,2022,Transit,122.91,1.0115,1.84,6.26,1329
K2-332 b,K2-332,2021,Transit,123.2,17.7063,2.2,,266
TOI-622 b,TOI-622,2023,Transit,123.3,6.4025,9.24,96.3,1388
K2-322 b,K2-322,2020,Transit,123.42,8.205,1.92,,635
K2-275 b,K2-275,2018,Transit,123.44,3.281,2.34,,1166
K2-275 c,K2-275,2018,Transit,123.44,8.4388,2.21,,653
WASP-18 b,WASP-18,2009,Transit,123.48,0.9415,13.9,3241.85,2429
TOI-451 d,TOI-451,2020,Transit,123.74,16.365,3.93,10.2,714
TOI-451 b,TOI-451,2020,Transit,123.74,1.8587,1.84,4.7,1474
TOI-451 c,TOI-451,2020,Transit,123.74,9.1925,2.93,3.7,865
Kepler-78 b,Kepler-78,2013,Transit,124.38,0.355,1.2,1.68,2223
K2-162 b,K2-162,2018,Transit,124.43,9.4589,1.44,,631
TOI-1694 b,TOI-1694,2023,Transit,124.68,3.7701,5.34,31.3,943
K2-17 b,K2-17,2015,Transit,125.11,17.9675,2.23,,487
TOI-1444 b,TOI-1444,2021,Transit,125.46,0.4703,1.42,3.58,2130
TOI-7149 b,TOI-7149,2025,Transit,126.13,2.6521,13.2,224.0,593
KELT-23 A b,KELT-23 A,2019,Transit,126.26,2.2553,14.83,298.12,1561
TOI-2295 b,TOI-2295,2024,Transit,126.28,30.0333,16.48,278.1,747
TOI-2088 b,TOI-2088,2024,Transit,126.46,124.73,3.68,37.0,300
HIP 67522 b,HIP 67522,2020,Transit,127.28,6.9595,9.99,,1175
HIP 67522 c,HIP 67522,2024,Transit,127.28,14.3349,7.94,,917
HATS-72 b,HATS-72,2020,Transit,127.59,7.3279,8.1,39.86,739
TOI-1811 b,TOI-1811,2023,Transit,128.23,3.7131,11.14,308.93,962
TOI-1899 b,TOI-1899,2020,Transit,128.44,29.0903,11.1,212.95,378
K2-154 b,K2-154,2018,Transit,129.36,3.6763,1.99,,715
K2-154 c,K2-154,2018,Transit,129.36,7.9549,2.07,,552
K2-228 b,K2-228,2018,Transit,129.46,2.6983,1.21,,914
TOI-1052 b,TOI-1052,2023,Transit,129.8,9.1397,2.87,16.9,1135
TOI-3629 b,TOI-3629,2022,Transit,130.09,3.9366,8.29,82.64,690
TOI-470 b,TOI-470,2023,Transit,130.46,12.1915,4.34,,660
K2-232 b,K2-232,2018,Transit,130.72,11.1685,11.21,126.5,1030
TOI-5398 b,TOI-5398,2022,Transit,130.85,10.5905,10.3,58.7,947
TOI-5398 c,TOI-5398,2023,Transit,130.85,4.7727,3.52,11.8,1242
TOI-5108 b,TOI-5108,2025,Transit,130.92,6.7536,6.6,32.0,1180
TOI-707 b,TOI-707,2026,Transit,130.96,52.7992,2.42,,492
TOI-4495 b,TOI-4495,2026,Transit,132.21,2.567,2.48,7.7,1735
TOI-4495 c,TOI-4495,2024,Transit,132.21,5.1855,4.03,23.2,1365
TOI-1173 b,TOI-1173,2024,Transit,132.35,7.0647,9.19,27.4,868
HD 89345 b,HD 89345,2018,Transit,132.35,11.8143,7.4,34.96,1089
TOI-6223 b,TOI-6223,2025,Transit,133.12,3.8552,5.07,,714
K2-90 b,K2-90,2016,Transit,134.19,13.7333,2.6,,502
TOI-2374 b,TOI-2374,2024,Transit,134.66,4.3136,7.49,61.66,926
WISPIT 2 c,WISPIT 2,2026,Imaging,134.91,,17.93,3178.28,2050
TOI-4311 b,TOI-4311,2026,Transit,134.99,0.9903,1.38,4.5,1664
TOI-4311 c,TOI-4311,2026,Transit,134.99,15.0704,2.47,13.58,671
TOI-532 b,TOI-532,2021,Transit,135.05,2.3267,5.82,61.5,867
KELT-20 b,KELT-20,2017,Transit,136.43,3.4741,19.51,1074.9,2262
K2-324 b,K2-324,2020,Transit,136.67,3.262,2.43,,707
TOI-1272 b,TOI-1272,2022,Transit,137.57,3.316,4.13,27.0,975
K2-53 b,K2-53,2016,Transit,138.02,12.2077,2.6,,665
TOI-5344 b,TOI-5344,2023,Transit,138.37,3.7926,10.6,130.95,689
TOI-1221 b,TOI-1221,2023,Transit,138.41,91.6828,2.91,1112.4,440
K2-265 b,K2-265,2018,Transit,138.67,2.369,1.71,7.34,1366
TOI-6330 b,TOI-6330,2025,Transit,139.04,6.85,10.89,3179.0,495
TOI-1249 b,TOI-1249,2024,Transit,139.49,13.0792,3.27,11.9,727
HD 28109 b,HD 28109,2022,Transit,139.61,22.8911,2.69,6.2,867
HD 28109 c,HD 28109,2022,Transit,139.61,55.9971,4.13,9.2,643
HD 28109 d,HD 28109,2022,Transit,139.61,84.2899,3.11,5.8,561
HATS-71 b,HATS-71,2020,Transit,140.23,3.7955,11.48,117.6,587
K2-124 b,K2-124,2017,Transit,140.39,6.4137,2.9,,442
WASP-10 b,WASP-10,2008,Transit,141.0,3.0928,12.11,1001.12,1370
HD 135344 A b,HD 135344 A,2025,Imaging,141.6,,16.25,3178.28,1585
K2-77 b,K2-77,2016,Transit,141.73,8.2001,2.5,,806
WASP-85 A b,WASP-85 A,2016,Transit,141.89,2.6557,13.9,402.05,1452
TOI-837 b,TOI-837,2020,Transit,142.49,8.3249,9.17,120.46,995
HAT-P-12 b,HAT-P-12,2009,Transit,142.75,3.2131,10.75,67.06,963
TOI-669 b,TOI-669,2023,Transit,142.87,3.9452,2.59,10.0,1125
K2-153 b,K2-153,2018,Transit,143.13,7.5157,2.0,,497
TOI-1230.01,TOI-1230,2021,Transit,143.14,25.0571,3.24,,689
HAT-P-54 b,HAT-P-54,2015,Transit,143.65,3.7998,10.58,241.55,818
Kepler-68 c,Kepler-68,2013,Transit,144.17,9.605,0.98,1.3,1052
Kepler-68 b,Kepler-68,2013,Transit,144.17,5.3988,2.36,8.03,1275
TOI-1386 b,TOI-1386,2024,Transit,146.86,25.8401,6.22,45.8,615
K2-251 b,K2-251,2018,Transit,147.03,9.3008,2.35,,437
TOI-1347 b,TOI-1347,2024,Transit,147.48,0.8474,1.8,11.1,1400
TOI-1347 c,TOI-1347,2024,Transit,147.48,4.842,1.6,6.4,1000
K2-318 b,K2-318,2020,Transit,147.87,7.01,1.66,,456
TOI-530 b,TOI-530,2021,Transit,148.76,6.3876,9.3,127.13,565
TOI-1431 b,TOI-1431,2021,Transit,148.93,2.6502,16.7,991.62,2370
TOI-2447 b,TOI-2447,2024,Transit,148.99,69.3368,9.61,124.91,414
TOI-1775 b,TOI-1775,2024,Transit,149.23,10.2406,8.05,96.0,708
K2-241 b,K2-241,2018,Transit,149.46,26.8199,2.55,,507
TOI-1194 b,TOI-1194,2023,Transit,149.67,2.3106,8.72,120.0,1264
WASP-91 b,WASP-91,2017,Transit,149.94,2.7986,11.55,425.89,1160
GQ Lup b,GQ Lup,2004,Imaging,151.17,,33.6,6356.0,2650
TOI-6303 b,TOI-6303,2025,Transit,152.22,9.4852,11.59,2493.0,541
K2-131 b,K2-131,2017,Transit,152.51,0.3693,1.69,7.9,2223
WASP-2 b,WASP-2,2007,Transit,153.24,2.1522,12.12,295.9,1311
Kepler-411 d,Kepler-411,2018,Transit,153.68,58.0204,3.32,15.2,410
Kepler-411 b,Kepler-411,2013,Transit,153.68,3.0052,2.4,25.6,1138
Kepler-411 c,Kepler-411,2016,Transit,153.68,7.8344,4.42,26.4,838
K2-139 b,K2-139,2017,Transit,153.86,28.3806,9.11,,524
TOI-3486 b,TOI-3486,2025,Transit,154.72,2.2178,10.57,99.16,1190
TOI-4666 b,TOI-4666,2025,Transit,154.75,2.9089,12.53,155.42,695
K2-182 b,K2-182,2018,Transit,154.83,4.737,2.71,20.98,966
K2-285 b,K2-285,2018,Transit,154.96,3.4717,2.59,9.68,1089
K2-285 d,K2-285,2018,Transit,154.96,10.4558,2.48,6.5,620
K2-285 e,K2-285,2018,Transit,154.96,14.7629,1.95,10.7,501
K2-285 c,K2-285,2018,Transit,154.96,7.138,3.53,15.68,741
TOI-1422 b,TOI-1422,2022,Transit,155.14,12.9989,3.83,9.5,870
TOI-1422 c,TOI-1422,2025,Radial Velocity,155.14,34.5633,2.61,14.0,628
HD 137496 b,HD 137496,2021,Transit,155.32,1.6212,1.31,4.04,2130
TOI-1794 b,TOI-1794,2024,Transit,155.79,8.7655,3.3,8.7,993
Kepler-538 b,Kepler-538,2016,Transit,155.96,81.7378,2.22,12.9,417
TOI-5795 b,TOI-5795,2025,Transit,156.53,6.1406,5.62,23.66,1137
TOI-2449 b,TOI-2449,2025,Transit,156.79,106.1447,11.24,222.0,400
K2-338 b,K2-338,2021,Transit,156.95,3.8506,1.03,,783
K2-32 c,K2-32,2016,Transit,157.68,20.6609,3.13,8.1,634
K2-32 d,K2-32,2016,Transit,157.68,31.717,3.48,6.7,550
K2-32 e,K2-32,2019,Transit,157.68,4.3493,1.21,2.1,1066
K2-32 b,K2-32,2016,Transit,157.68,8.992,5.3,15.0,837
K2-287 b,K2-287,2018,Transit,158.34,14.8933,9.49,100.12,804
TOI-905 b,TOI-905,2020,Transit,158.65,3.7395,13.13,211.99,1192
HAT-P-1 b,HAT-P-1,2006,Transit,158.98,4.4653,14.78,166.86,1322
IRAS 04125+2902 b,IRAS 04125+2902,2024,Transit,159.24,8.835,10.74,,854
K2-55 b,K2-55,2016,Transit,159.52,2.8493,4.43,44.0,900
K2-330 b,K2-330,2021,Transit,160.13,13.7748,2.77,,969
TOI-5126 c,TOI-5126,2023,Transit,160.41,17.8999,3.86,,971
TOI-5126 b,TOI-5126,2023,Transit,160.41,5.4588,4.74,,1442
HAT-P-18 b,HAT-P-18,2010,Transit,161.4,5.508,11.15,62.61,852
HD 202772 A b,HD 202772 A,2019,Transit,161.5,3.3089,18.24,323.55,2181
K2-123 b,K2-123,2017,Transit,161.56,30.9515,2.76,,338
TOI-778 b,TOI-778,2023,Transit,161.74,4.6336,15.4,878.0,1561
TOI-5293 A b,TOI-5293 A,2023,Transit,162.23,2.9303,11.9,170.4,675
WASP-7 b,WASP-7,2008,Transit,162.3,4.9546,14.91,305.12,1487
K2-345 b,K2-345,2021,Transit,162.41,10.3674,2.11,,437
K2-263 b,K2-263,2018,Transit,162.48,50.8192,2.51,15.4,482
TOI-5300 b,TOI-5300,2025,Transit,162.51,2.2622,9.86,190.7,1043
TOI-132 b,TOI-132,2020,Transit,163.68,2.1097,3.42,22.4,1395
TOI-2969 b,TOI-2969,2025,Transit,164.0,1.8237,12.33,368.68,1186
TOI-1853 b,TOI-1853,2023,Transit,165.11,1.2436,3.46,73.2,1479
TOI-5678 b,TOI-5678,2023,Transit,165.39,47.7302,4.91,20.0,513
K2-203 b,K2-203,2018,Transit,166.15,9.6952,1.27,,738
K2-343 c,K2-343,2021,Transit,166.17,7.677,2.02,,465
K2-343 b,K2-343,2021,Transit,166.17,2.7872,1.65,,653
TOI-1117 b,TOI-1117,2025,Transit,167.6,2.2282,2.46,8.9,1538
TOI-1670 c,TOI-1670,2022,Transit,168.07,40.7498,11.06,200.23,684
TOI-1670 b,TOI-1670,2022,Transit,168.07,10.9846,2.06,41.32,1062
TOI-1248 b,TOI-1248,2024,Transit,168.74,4.3602,6.81,27.4,952
WASP-105 b,WASP-105,2017,Transit,169.27,7.8729,10.76,572.09,900
HATS-6 b,HATS-6,2015,Transit,169.32,3.3253,11.19,101.39,713
K2-121 b,K2-121,2017,Transit,169.4,5.1857,7.16,51.0,716
TOI-1246 b,TOI-1246,2022,Transit,169.42,4.3074,3.01,8.1,955
TOI-1246 e,TOI-1246,2022,Transit,169.42,37.9255,3.51,14.5,464
TOI-1246 c,TOI-1246,2022,Transit,169.42,5.9041,2.45,9.1,862
TOI-1246 d,TOI-1246,2022,Transit,169.42,18.6549,3.43,5.4,588
MASCARA-4 b,MASCARA-4,2020,Transit,170.7,2.8241,16.98,532.36,2250
K2-159 b,K2-159,2018,Transit,171.0,12.4221,2.26,,684
TOI-6383 A b,TOI-6383 A,2024,Transit,171.32,1.7906,11.29,331.0,745
TOI-1269 b,TOI-1269,2024,Transit,172.14,4.253,2.4,6.4,1005
KOI-4777.01,KOI-4777,2022,Transit,172.25,0.412,0.51,99.2,1180
WASP-130 b,WASP-130,2016,Transit,172.26,11.551,9.98,390.93,833
TOI-4463 A b,TOI-4463 A,2023,Transit,173.12,2.8807,13.26,252.36,1395
WASP-52 b,WASP-52,2012,Transit,174.82,1.7498,14.24,146.2,1315
K2-54 b,K2-54,2016,Transit,174.96,9.7833,2.61,,560
TOI-2000 b,TOI-2000,2023,Transit,175.71,3.0983,2.7,11.0,1488
